Series ID,year,Period,Label,ppi,1mon,3mon,3mo_annualized,12mon
WPSFD4,2016,M03,2016 Mar,109.7,0.0,0.1,0.4,-0.1
WPSFD4,2016,M04,2016 Apr,109.9,0.2,-0.1,-0.4,0.3
WPSFD4,2016,M05,2016 May,110.1,0.2,0.4,1.6,0.1
WPSFD4,2016,M06,2016 Jun,110.6,0.5,0.8,3.2,0.3
WPSFD4,2016,M07,2016 Jul,110.5,-0.1,0.5,2.0,0.0
WPSFD4,2016,M08,2016 Aug,110.3,-0.2,0.2,0.8,0.0
WPSFD4,2016,M09,2016 Sep,110.6,0.3,0.0,0.0,0.6
WPSFD4,2016,M10,2016 Oct,110.9,0.3,0.4,1.6,1.2
WPSFD4,2016,M11,2016 Nov,111.1,0.2,0.7,2.8,1.3
WPSFD4,2016,M12,2016 Dec,111.4,0.3,0.7,2.8,1.6
WPSFD4,2017,M01,2017 Jan,111.9,0.4,0.9,3.6,1.7
WPSFD4,2017,M02,2017 Feb,111.9,0.0,0.7,2.8,2.0
WPSFD4,2017,M03,2017 Mar,112.1,0.2,0.6,2.4,2.2
WPSFD4,2017,M04,2017 Apr,112.6,0.4,0.6,2.4,2.5
WPSFD4,2017,M05,2017 May,112.5,-0.1,0.5,2.0,2.2
WPSFD4,2017,M06,2017 Jun,112.6,0.1,0.4,1.6,1.8
WPSFD4,2017,M07,2017 Jul,112.7,0.1,0.1,0.4,2.0
WPSFD4,2017,M08,2017 Aug,113.1,0.4,0.5,2.0,2.5
WPSFD4,2017,M09,2017 Sep,113.5,0.4,0.8,3.2,2.6
WPSFD4,2017,M10,2017 Oct,113.9,0.4,1.1,4.4,2.7
WPSFD4,2017,M11,2017 Nov,114.3,0.4,1.1,4.4,2.9
WPSFD4,2017,M12,2017 Dec,114.4,0.1,0.8,3.2,2.7
WPSFD4,2018,M01,2018 Jan,114.8,0.3,0.8,3.2,2.6
WPSFD4,2018,M02,2018 Feb,115.1,0.3,0.7,2.8,2.9
WPSFD4,2018,M03,2018 Mar,115.3,0.2,0.8,3.2,2.9
WPSFD4,2018,M04,2018 Apr,115.5,0.2,0.6,2.4,2.6
WPSFD4,2018,M05,2018 May,115.9,0.3,0.7,2.8,3.0
WPSFD4,2018,M06,2018 Jun,116.3,0.3,0.9,3.6,3.3
WPSFD4,2018,M07,2018 Jul,116.4,0.1,0.8,3.2,3.3
WPSFD4,2018,M08,2018 Aug,116.5,0.1,0.5,2.0,3.0
WPSFD4,2018,M09,2018 Sep,116.7,0.2,0.3,1.2,2.8
WPSFD4,2018,M10,2018 Oct,117.5,0.7,0.9,3.6,3.2
WPSFD4,2018,M11,2018 Nov,117.4,-0.1,0.8,3.2,2.7
WPSFD4,2018,M12,2018 Dec,117.4,0.0,0.6,2.4,2.6
WPSFD4,2019,M01,2019 Jan,117.0,-0.3,-0.4,-1.6,1.9
WPSFD4,2019,M02,2019 Feb,117.2,0.2,-0.2,-0.8,1.8
WPSFD4,2019,M03,2019 Mar,117.6,0.3,0.2,0.8,2.0
WPSFD4,2019,M04,2019 Apr,118.2,0.5,1.0,4.0,2.3
WPSFD4,2019,M05,2019 May,118.3,0.1,0.9,3.6,2.1
WPSFD4,2019,M06,2019 Jun,118.2,-0.1,0.5,2.0,1.6
WPSFD4,2019,M07,2019 Jul,118.5,0.3,0.3,1.2,1.8
WPSFD4,2019,M08,2019 Aug,118.6,0.1,0.3,1.2,1.8
WPSFD4,2019,M09,2019 Sep,118.3,-0.3,0.1,0.4,1.4
WPSFD4,2019,M10,2019 Oct,118.8,0.4,0.3,1.2,1.1
WPSFD4,2019,M11,2019 Nov,118.6,-0.2,0.0,0.0,1.0
WPSFD4,2019,M12,2019 Dec,119.0,0.3,0.6,2.4,1.4
WPSFD4,2020,M01,2020 Jan,119.3,0.3,0.4,1.6,2.0
WPSFD4,2020,M02,2020 Feb,118.6,-0.6,0.0,0.0,1.2
WPSFD4,2020,M03,2020 Mar,118.0,-0.5,-0.8,-3.2,0.3
WPSFD4,2020,M04,2020 Apr,116.6,-1.2,-2.3,-9.2,-1.4
WPSFD4,2020,M05,2020 May,117.2,0.5,-1.2,-4.8,-0.9
WPSFD4,2020,M06,2020 Jun,117.5,0.3,-0.4,-1.6,-0.6
WPSFD4,2020,M07,2020 Jul,118.2,0.6,1.4,5.6,-0.3
WPSFD4,2020,M08,2020 Aug,118.4,0.2,1.0,4.0,-0.2
WPSFD4,2020,M09,2020 Sep,118.7,0.3,1.0,4.0,0.3
WPSFD4,2020,M10,2020 Oct,119.4,0.6,1.0,4.0,0.5
WPSFD4,2020,M11,2020 Nov,119.5,0.1,0.9,3.6,0.8
WPSFD4,2020,M12,2020 Dec,120.0,0.4,1.1,4.4,0.8
WPSFD4,2021,M01,2021 Jan,121.2,1.0,1.5,6.0,1.6
WPSFD4,2021,M02,2021 Feb,122.0,0.7,2.1,8.4,2.9
WPSFD4,2021,M03,2021 Mar,122.8,0.7,2.3,9.2,4.1
WPSFD4,2021,M04,2021 Apr,124.1,1.1,2.4,9.6,6.4
